URL	LINE	DELETE OR NOT	
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/beanie/statepro/trouble.sig.txt	and the roc-a-fella niggas i'm focused bring the chorus in		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/bigdaddy/bigdaddy/stoppin.bdk.txt	so one more time kick the chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/bigdaddy/dad_home/inthepjs.bdk.txt	chorus kane + yeah yeah -> chanted in back throughout		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/bigdaddy/princeof/thelover.bdk.txt	while i bring the chorus back for ya one more time		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/big_l/picture/triboro.bgl.txt	chorus remi martin and oc 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/big_moe/unfinish/grindin.moe.txt	i wreck on everybody's chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/big_pun/capital/came_up.pun.txt	chorus big punisher and noreaga    		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/big_pun/capital/notaplay.pun.txt	chorus big punisher and the o'jays		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/big_pun/capital/notaplay.pun.txt	chorus big punisher and the o'jays		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/big_pun/y_baby/so_hard.pun.txt	chorus 1 + 2 overlap		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/big_pun/capital/super_ly.pun.txt	chorus -- lyrically i'm supposed to represent 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/big_pun/capital/super_ly.pun.txt	chorus -- lyrically i'm supposed to represent		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/big_pun/capital/super_ly.pun.txt	chorus -- lyrically i'm supposed to represent		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/big_pun/capital/thedream.pun.txt	chorus -- when you awaken your manhood'll be taken		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/big_pun/y_baby/we_dont.pun.txt	chorus pun and cuban link		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/big_pun/y_baby/wrongone.pun.txt	chorus sunkiss + big pun		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/bizmark/haircut/busydoin.biz.txt	chorus bizmarkie's crew and the diabolical		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/blk_moon/diggin/buck_rm.blm.txt	chorus buckshot and dj evil dee		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/blackrob/story/espacio.rob.txt	chorus lil kim and black rob		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/blk_shp/a_wolf/gimme_fn.bsp.txt	the chorus repeats with the following changes on the last line		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/bonethug/collect2/weed_man.bne.txt	chorus bizzy bone & bluelight		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/boogiedp/edutain/7deejays.bdp.txt	so come in now with the chorus of the day		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/bootcamp/dapeople/illanoyz.bcc.txt	 chorus illa noyz and heltah skeltah		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/brnubian/firehole/got_knot.brn.txt	i'm glad i'm makin hits y'all know the chorus sing this shit		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/camp_lo/lets_do/gorilla.cmp.txt	<chorus x 2>		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/canibus/mic_club/cenior.can.txt	i write about hugsley vs wibble force fuck writin killer chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/canibus/mic_club/c_101.can.txt	with singularity on the chorus i still sound enormous		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/canibus/2000_bc/phuku.can.txt	chorus 1 - phuk u  ok		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/canibus/2000_bc/phuku.can.txt	chorus 2 - ok phuk u 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/chino_xl/here_to/whatami.cxl.txt	<<chorus>>		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/chino_xl/here_to/whatami.cxl.txt	<<chorus>>		
